tribe,language_classification,langauge_primary_name,language__alternate_names,language_dialect_varieties,language_comments,"locations_places_comments
",resource_title,resource_url,resource_url2,resource_url3,resource_institution,resource_publisher,citation,orthography_comment,vitality_public_comment,,,,
Caddo Nation Of Oklahoma,Caddoan,Caddo,,,,,,https://www.native-languages.org/caddo_words.htm,,,,,,,"The Caddo language is critically endangered, with active efforts to preserve and revitalize it.",,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,Oklahoma,"Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,"25 (1997 W. Chafe). No monolinguals (2000 Levy), ethnic population: 45 (2000 census).
(Unchanged 2016 [Golla 2007].)",,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,Oklahoma,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,,,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,"Since the 1970s the Caddo Tribe has devoted significant resources to recording and archiving songs, oral history, and language, and recently the Tribe’s heritage department, the Kiwat Hasinay Foundation, has been concerned with the long-term archiving and preservation of this record.",Caddo County; Oklahoma,,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X",,,,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,"Oklahoma
Oklahoma",Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,"Oklahoma
Present Caddo County, Oklahoma, primarily in the vicinity of Anadarko and Binger.",Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,Spoken by fewer than 25 elderly members of the tribe.,,,,
Caddo,Caddoan,Caddo,Kadohadacho; Petit Caddo; Upper Nasoni; Nanatsaho; Kado; Caddoe;,,,,,,,,,Oxford University Press,"2005. ""The World Atlas of Language Structures.""  edited by Bernard Comrie et al. Oxford University Press.",,,,,,
Cherokee Nation,Iroquoian,??? (Cherokee),,,,,,https://language.cherokee.org/word-list/,https://www.cherokeedictionary.net/,,,,,,The Cherokee language is endangered but has a significant number of speakers and robust revitalization programs.,,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,"Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,"Data for the number of native speakers comes from the 2000 census.  There are 130 monolinguals. ""14,000 on Oklahoma rolls (1986 D. Feeling), 1,000 in North Carolina (1997 R. Sabino).""  Data for the ethnic population is from the 1990 census, and includes ""70,000 on Oklahoma rolls (1986 D. Feeling), 9,800 in Eastern Band (1997 R. Sabino).""",,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,Regularly taught at the University of Oklahoma and at Northeastern State University in Tahlequah. Adult classes are held in a number of locations.,Oklahoma; North Carolina,,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X",,"In addition, an undetermined, but relatively high, percentage of the 7500 members of the United Keetoowah Band of Oklahoma and Arkansas are speakers of the Oklahoma variety.",,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,North Carolina; Oklahoma; Arkansas,Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,"Spoken by up to 10,000 of the more than 122,000 members of the Cherokee Nation of Oklahoma, by about 1,000 of the approximately 10,000 members of the Eastern Band of Cherokees in North Carolina, and by an undetermined — but relatively high — percentage of the 7500 members of the United Keetoowah Band of Oklahoma and Arkansas.",,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,,,,,,Oxford University Press,"2005. ""The World Atlas of Language Structures.""  edited by Bernard Comrie et al. Oxford University Press.",,,,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,"Oklahoma; North Carolina
Oklahoma: Cherokee Reservation.
North Carolina: Great Smokey Mountains area.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com,,,,SIL International,"Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig (eds.). 2016. Ethnologue: Languages of the World, Nineteenth edition (2016). Dallas, Texas: SIL International. Online version: http://www.ethnologue.com.",,"Cherokee Nation in Oklahoma: 10,000 of the 122,000 member.
Eastern Band of Cherokees in North Carolina: 1000 of the 10,000.
United Keetoowah Band of Oklahoma and Arkansas: by a high percentage of 7500 members (Golla 2007). ",,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,"Three federally recognized tribes: Cherokee Nation, the United Keetoowah Band of Cherokee Indians, and the Eastern Band of Cherokee Indians.",,,,,,,,,"For decades, there was not an accurate number of Cherokee speakers. The 16,000 estimate came from a survey done back in the 1960s, and for decades it was never updated. Back in the early 2000s, an informal phone survey was done by Cherokee Nation in which about 10,000 people self identified as Cherokee speakers, but there was no way to confirm level of fluency. So starting last year, the Cherokee Language Program at Cherokee Nation started a project to identify all of our first language Cherokee speakers. So far, we have identified around 2,100 first language speakers left at the moment, and all are verified as fluent first language Cherokee speakers. That includes all three federally recognized tribes: Cherokee Nation, the United Keetoowah Band of Cherokee Indians, and the Eastern Band of Cherokee Indians. This number is the most recent, and most accurate, count. We are continually losing speakers as they pass away.",,,,
Cherokee,Iroquoian,??? (Cherokee),Iroquois; Tsalagi; Tslagi; Rickohockan; Rechahecrian; Southern Iroquoian; ??? ??????,Western Cherokee; Eastern Cherokee,,,,,,,,,,,"Cherokee Language Master Apprentice Program (CLMAP) has graduated about 10 speakers, with 16 more in the coming year.",,,,
Cheyenne And Arapaho Tribes,Algic; Algonquian,Cheyenne,,,,,,http://www.cheyennenation.com/,,,,,,,"Both languages are endangered, with ongoing preservation efforts.",,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,"Montana; Oklahoma
Northern Cheyenne Reservation, southeastern Montana; associated with Arapaho in western Oklahoma.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,Data for the number of native speakers comes from the 1990 census.  Data for the ethnic population is from the 2000 census.-- -- The number of speakers is decreasing.,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,,,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,"A bilingual education program is sponsored by the Northern Cheyenne Tribe and summer immersion camps have been held since 1998. The language is also taught at the tribally controlled Dull Knife Memorial College in Lame Deer, Montana, and at St. Labre Indian School in Ashland,
Montana.",Southeastern Montana; central Oklahoma,,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X","A standard orthography, based on a missionary writing system, has been used
in teaching programs and in published language materials since the early 1970s.",,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,,Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,Montana; Oklahoma,Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,"Spoken on the Northern Cheyenne Reservation in southeastern Montana, and in scattered communities in central Oklahoma.-- -- Most speakers in Oklahoma are middle aged or older.",,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,,,,,,,Oxford University Press,"2005. ""The World Atlas of Language Structures.""  edited by Bernard Comrie et al. Oxford University Press.",,,,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,"Montana
The Northern Cheyenne Indian Reservation, located in present-day southeastern Montana.",,http://www.cheyennenation.com/,,,Northern Cheyenne Tribe,,"Northern Cheyenne Tribe. 2011. ""Official Site of the Tsitsistas and So'taeo'o People.""  Online: http://www.cheyennenation.com/.",,"Approximately 10,050 enrolled tribal members, with about 4,939 residing on the reservation.",,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,,,,,,Chief Dull Knife College,,"2010. ""Northern Cheyenne Language Survey."" ",,"In the 2010 Northern Cheyenne Language Survey, 110 adult respondents and 223 youth respondents indicated that they spoke the language. 

Of the 110 adults, 52  rated their speaking proficiency as advanced or higher, and 91 indicated they can understand at least most of what is said when spoken to in Cheyenne. 

Of the 223 youth, 19 rated their speaking proficiency as advanced or higher, and 53 indicated they can understand at least most of what is said when spoken to in Cheyenne. 

",,,,
Cheyenne,Algic; Algonquian,Cheyenne,,Sutaio; Cheyenne,,"Montana; Oklahoma
Montana: Northern Cheyenne Reservation; associated with Arapaho [arp] in western Oklahoma.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com,,,,SIL International,"Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig (eds.). 2016. Ethnologue: Languages of the World, Nineteenth edition (2016). Dallas, Texas: SIL International. Online version: http://www.ethnologue.com.",,"Montana: 1700, Oklahoma 400 (Golla 2007).",,,,
Chickasaw Nation,Muskogean,Chickasaw,,,,,,https://core.ac.uk/download/pdf/215188246.pdf,,,,,,,"The Chickasaw language is severely endangered, with comprehensive revitalization efforts.",,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,"Oklahoma
Mainly south central Oklahoma, from Byng or Happyland (near Ada) north, Davis or Ardmore west, to Fillmore and Wapanucka east. Some in Los Angeles, California.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,Data for the number of native speakers comes from Munro and Willmond (1987). Data for the ethnic population is from the Chickasaw nation (1999).-- -- The number of speakers is decreasing.,,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,,,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,South-central Oklahoma,,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X",,,,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,,Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,"Oklahoma
South-central Oklahoma",Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,"Spoken by about 600 members of the Chickasaw Nation of south-central Oklahoma. The youngest speaker is in her mid 40s, though most are in their 50s or older. The language is in use among those who are middle-agedand elderly, and is not being learned by children or by second-language learners.",,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,,"Oklahoma
Oklahoma: Byng and Happyland (near Ada) north, Davis and Ardmore west, to Fillmore and Wapanucka east. ","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com,,,,SIL International,"Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig (eds.). 2016. Ethnologue: Languages of the World, Nineteenth edition (2016). Dallas, Texas: SIL International. Online version: http://www.ethnologue.com.",,"
600 (Golla 2007), decreasing. Ethnic population: 35,000 (1999 Chickasaw Nation).-- -- Not learned by children. Speakers 50 years and older.",,,,
Chickasaw,Muskogean,Chickasaw,Chicasa,,"In 2007, Chickasaw Nation Governor Bill Anoatubby established the Chickasaw Language
Revitalization Program (CLRP). For over a decade, the CLRP has continued the work to ensure that
Chikashshanompa' will be spoken for generations to come. Currently, the CLRP has 11 full time staff
and works closely with academic and tribal partners","7,648 square mile of south-central Oklahoma",,https://scholarworks.umass.edu/cgi/viewcontent.cgi?article=1004&context=livinglanguages,,,University of Massachusetts Amherst,,,Chickasaw orthography standardized in Munro and Willmond’s dictionary (1994). ,"Less than 50 first-language speakers
~12 highly competent second language learners
~10% of Chickasaw citizens who are learning Chikashshanompa' in some form-- -- ~10 percent of citizens learning language",,,,
Choctaw Nation Of Oklahoma,Muskogean,Choctaw,,,,,"Byington, Cyrus. 1915. A Dictionary of the Choctaw Language. Bureau of American Ethnology, bulletin 46. Government Printing Office. Washington, D.C.. https://dn790005.ca.archive.org/0/items/choctawlanguag00byinrich/choctawlanguag00byinrich.pdf",https://dictionary.choctawnation.com/word/,,,,,,,,,,,
Choctaw,Muskogean,Choctaw,,,,"Southeast Oklahoma, McCurtain county; east central Mississippi; some in Louisiana and Tennessee.-- -- Oklahoma","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,"The number for the ethnic population includes ""111,400 in Oklahoma (1998 Choctaw Language Department, Choctaw Nation of Oklahoma).-- -- The number of speakers is decreasing.",,,,
Choctaw,Muskogean,Choctaw,,,,,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
Choctaw,Muskogean,Choctaw,,,,,,http://www.oralliterature.org,,,,,"""World Oral Literature Project.""  Online: http://www.oralliterature.org.",,,,,,
Choctaw,Muskogean,Choctaw,,,,Mississippi; Oklahoma;; Lousisiana,,,,,,Routledge,"Moseley, Christopher. 2007. Encyclopedia of the World's Endangered Languages, 1 edn. Abingdon: Routledge. ISBN 070071197X",,,,,,
Choctaw,Muskogean,Choctaw,,,,,Atlas of the World’s Languages in Danger of Disappearing,,,,,UNESCO,"Christopher Rogers, Naomi Palosaari and Lyle Campbell. 2010. ""Endangered Languages of the United States."" In Atlas of the World’s Languages in Danger of Disappearing,  edited by Christopher Moseley. 108-130. UNESCO.",,,,,,
Choctaw,Muskogean,Choctaw,,,,Mississippi; Oklahoma; Louisiana,Atlas of the World's Languages,,,,,Routledge,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun and Mauricio Mixco. 2008. ""North America."" In Atlas of the World's Languages,  edited by Chris Moseley and Ron Asher. 7-41. Routledge.",,"The Mississippi Band of Choctaws has around 5,000 fluent speakers in seven small communities scattered throughout the state (the tribal headquarters is in Philadelphia, Mississippi).  The Choctaw Nation of Oklahoma counts at least 4,000 speakers among its more than 20,000 members, most of them middle-aged or elderly.-- -- The use of Mississippi
Choctaw is vigorous at all ages, and many children are monolingual in Choctaw before attending
school.",,,,
Choctaw,Muskogean,Choctaw,,,,,,,,,,Oxford University Press,"2005. ""The World Atlas of Language Structures.""  edited by Bernard Comrie et al. Oxford University Press.",,,,,,
Choctaw,Muskogean,Choctaw,,,,"Louisiana; Mississippi; Oklahoma; Tennessee
Louisiana; Mississippi: east central; Oklahoma: McCurtain county; Tennessee.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com,,,,SIL International,"Lewis, M. Paul, Gary F. Simons, and Charles D. Fennig (eds.). 2016. Ethnologue: Languages of the World, Nineteenth edition (2016). Dallas, Texas: SIL International. Online version: http://www.ethnologue.com.",,"10,400 (2010 census), decreasing. Ethnic population: 20,000 (Golla 2007).",,,,
Comanche Nation,Uto-Aztecan; Northern Uto-Aztecan; Numic,Comanche,,,,,,https://www.webonary.org/comanche/,https://www.comanchemuseum.com/dictionary.html,https://wiki.lingvoforum.net/wiki/Comanche_dictionary,,,,,"The Comanche language is critically endangered, with active revitalization programs.",,,,
Comanche,Uto-Aztecan; Northern Uto-Aztecan; Numic,Comanche,,,"""Ten years ago, the Lawton-based Comanche Nation had an estimated 100 speakers. It’s not known how many speakers are left in the 15,000-strong tribe today, but Cable-Kreger said she can count fluent speakers she knows on one hand."" http://newsok.com/saving-the-comanche-language/article/4875448. (2014).

""Today, about a dozen generations after its prime, the language endures only through a handful of native speakers - as few as 25 out of the Comanche Nation's approximately 15,000 registered members - but they are dying off and taking the legacy with them.
'It's definitely going extinct in the sense that what we're losing is intergenerational transmission of the language,"" Williams said. ""In other words, kids aren't learning it.'"" http://lubbockonline.com/stories/121809/loc_536884399.shtml (2009).-- -- Courses in Comanche have been taught at University of Oklahoma.","Oklahoma
Western Oklahoma.","Ethnologue: Languages of the World, 16th Edition (2009)",http://www.ethnologue.com/,,,,SIL International,"Lewis, M. Paul (ed.). 2009. Ethnologue: Languages of the World, 16 edn. http://www.ethnologue.com/home.asp.  (15 February, 2011.)",,Speaker number decreasing.,,,,
Comanche,Uto-Aztecan; Northern Uto-Aztecan; Numic,Comanche,,,"""Ten years ago, the Lawton-based Comanche Nation had an estimated 100 speakers. It’s not known how many speakers are left in the 15,000-strong tribe today, but Cable-Kreger said she can count fluent speakers she knows on one hand."" http://newsok.com/saving-the-comanche-language/article/4875448. (2014).

""Today, about a dozen generations after its prime, the language endures only through a handful of native speakers - as few as 25 out of the Comanche Nation's approximately 15,000 registered members - but they are dying off and taking the legacy with them.
'It's definitely going extinct in the sense that what we're losing is intergenerational transmission of the language,"" Williams said. ""In other words, kids aren't learning it.'"" http://lubbockonline.com/stories/121809/loc_536884399.shtml (2009).",,,http://www.unesco.org/culture/en/endangeredlanguages/atlas,,,,UNESCO Publishing,"Moseley, Christopher (ed.). 2010. Atlas of the World’s Languages in Danger, 3rd edn. http://www.unesco.org/culture/en/endangeredlanguages/atlas.  (03 June, 2011.)",,,,,,
