termTitle,part-of-language,partOfDefinition
achoiyukma,(v),"to do very well (at something), excellently"
achukkowa,(v),"to enter from, enter through"
achukkowa,(n),"an entrance, passageway, gate"
achukma,(v),"to be good, nice (of one)"
achukma,(adj),"good, nice, excellent, pleasant (of one)"
achukma ahni,(v),to like (someone or something) (newer term)
achukma hosh,(adv),well
achu?kma kiyo,(v),"to be spoiled, rotten, bad, no good (of food, a person, etc.)"
achukma?ka,(v),"to be well, healthy"
achukmanlit,(adv),"taking care, behaving"
achukm?li,(v),"to improve, make better, heal (someone or something), rectify, mend, do (something) well"
achukm?lichi,(v),"to improve (something), make (something) good"
achukm?lit,(adv),"doing (an action) well, diligently, orderly, carefully, right"
achukm?lit pisa,(v),"to examine (someone or something), scrutinize, study, inspect"
achunli,(v),"to sew, tack (together)"
ach?ffa,(num),one
afabi,(adj),left (the direction)
afach?li,(v),"to fasten (a belt, door, etc.), lock, latch"
afach?li,(n),a lock
afahata,(v),"to swing in, on, or at"
afahata,(n),"a swing (on a porch, playground, etc.)"
afama,(v),to meet (someone)
afanalichi,(v),"to investigate (something), dig into (a matter), search"
afehn?chi,(v),"to worship, idolize (someone)"
afilema,(n),"a relapse (of an illness, etc.)"
afoa,(v),"to scuffle over (a toy, etc.), contend for"
afoachi,(n),"a wrapper (candy wrapper, gift wrapping, etc.)"
afoha,(n),"a place of rest, rest area"
afohommi,(v),"to bind up, wrap around, rim (a basket, etc.)"
afokka,(n),"what something goes in: a case, holder, etc."
afolota,(n),"place where you can turn around: a turn around, circular driveway, circuit, the extent around"
afotoli,(n),"a place to grind grain: mill, grinder, etc. (old word)"
afullota,(v),to be circled around (something or someone)
af?mmi,(n),year
af?mmi ach?ffa kash,(adv),"one year ago, last year"
af?mmi hopa?ki chash,(adv),"years ago, many years ago"
af?mmi kash,(adv),last year
af?mmi nittak,(n),"birthday, birth year"
aha ahni,(v),"to be careful, mindful, vigilant"
aha ahni hosh,(adv),"carefully, warily, cautiously"
aha ahni iksho,(adj),"careless, inconsiderate, reckless"
aha ik ahno,(v),"to be careless, not careful"
ahabli,(n),"place where one steps: a stepping stone, stirrup, etc."
ahaiyochi,(v),to finally find
ahal?sbichi,(n),place where one irons: an ironing board
ahantta,(v),"(one) to be in (a place) for an extended period, keep staying, exist"
aha?shwa,(v),"to be (somewhere) for an extended period, keep staying, exist"
ahcheba ho?!,,what a nuisance!
ahchebah ma?,(adv),after a while
ahchiba,(v),"to be bothersome, irksome"
ahchibali,(v),"to be a nuisance, bothersome, tedious, slow"
ahchifa,(v),to be washed
ahe,(n),potato
ahe champuli,(n),sweet potato
ahe chukka,(n),potato house (a barn for storing potatoes)
ahe hluboa,(n),"potato, Irish potato"
ahe hluboa botoa,(n),mashed potatoes
ahe hluboa okcha?ki,(n),raw potato
ahe holbi,(n),boiled potatoes (boiled whole)
ahe pushi,(n),dried instant potatoes
ahe ?lw?sha,(n),fried potatoes
aheka,(n),"debt, bills, I.O.U., an obligation"
ahe?ka,(v),to owe
ahinla,(v),"can, may, shall (do something)"
ahinna,(v),"to care for, serve as a companion to"
ahinna,(n),"companion, caregiver"
ahinn?chi,(v),to provide a companion to (someone)
ahlepa,(n),a drum
ahlepushi,(n),"a fiddle, violin, stringed instrument"
ahma,,"and then (in the past), then, and"
ahni,(v),"to wish, desire, aim at, hope, expect, think"
ahnichi,(v),"to honor (someone), recognize (someone for their work), favor (a child), praise, applaud"
ahninchi,(v),"to admire, respect (someone)"
ahoba,(v),"to seem, appear"
ahoba,(adj),resembling
ahochi,(v),"to find, discover"
ahofobi,(n),"a deep place, abyss, chasm"
ahoiya,(n),"place where something drips: a sieve, filter, eaves, etc."
ahokli,(n),"place for holding: a handle (on a bucket, etc.), strap, hilt, haft, etc."
aholabi,(v),"to tell a lie about (someone), slander"
aholissochi,(n),"desk, slate"
aholissochi lusa,(n),"blackboard, chalkboard"
aholissochi tohbi,(n),white dry erase board (new word)
ahonni,(n),"place where one boils something: a crockpot, etc."
ahoponi,(n),"place where one cooks: a kitchen, stove, etc."
ahp?li,(v),to kiss (someone) (common term)
ahulloppi,(n),"place where one is buried: grave, graveyard, cemetery, burial plot"
a?hu?si,,a marker meaning ?almost’ or ?nearly’. The first vowel is usually spelled with the preceding verb.
ah?llaia,(v),"to care about, be interested"
ah?mmi,(v),"to rub (something) on, spread on, smear on, apply, anoint"
ah?mmichi,(v),"to spread (butter, lotion, salve, etc.), anoint"
ai isht ahullochi,(v),to perform a miracle
ai o? fayok?chi,(n),rocking chair (older term)
aiabani,(n),place where one grills or barbecues
aiachefa,(n),"place where one washes: washbasin, washing machine, etc."
aia?hli,(v),"to be true, the truth, real"
aia?hlika,(n),the truth
aiakkowa,(n),"place where one descends: steps (down from a plane or truck, etc.), stairs"
aiakkowachi,(n),"place where one is let down: a bus stop, unloading zone, hoist, etc."
aiakmuchi,(v),to glue
aiasha,(v),"(three or more) to live, dwell"
aiasha,(n),"place where three or more dwell: a community, settlement, village, etc."
aia?sha,(v),
aiena,,"and, also, with"
aiikbi,(n),"a place where things are made: factory, etc."
aiikh?na,(n),knowledge
aiikl?na?ka,(n),"in the middle of, in the midst of"
aiikl?nna,(v),"to be in the midst of, get in the middle of"
aiikl?nna,(n),"the middle of (a table, lake, event, fight, etc.), the center of"
aiikl?nn?chit,(adv),doing (something) in the middle of (something)
aiilb?sha,(n),place of torment: hell
aiimma,(pp),"about (a topic), concerning"
aiimpa,(n),"place where one eats: a table, restaurant, cafeteria, etc."
aiimpa chukka,(n),
aiinni,(v),"(one) to warm oneself at (a stove, etc.) (older word)"
aiishi,(n),"place where one takes hold: steering wheel, handle, haft, etc."
aiishko,(n),"place where one drinks: a bar, pub, watering place, drinking glass"
aiishwa,(v),"to sniff, smell (perfume, etc.), inhale"
aiiska,(v),"to fix (a car, a watch), repair, regulate, reconcile, prepare (food)"
aiittafama,(n),a meeting place
aiittibi,(n),"place where one fights: a battlefield, boxing ring, etc."
aiitt?naha,(n),"meeting place, gathering place"
aiitt?toba,(n),"a place to trade: store, trading post, market, shop"
aiokami,(n),"basin, washbasin"
aiokhlileka,(n),place where it is dark
aiokla,(n),"people, tribesmen, nation, settlement, relatives, descendants"
aiokpanchi,(v),"to be fond of (someone), like, enjoy, approve, regard, welcome"
aiokpuloka,(n),a bad place: hell
aiokp?chi,(v),"to greet, shake hands, praise, honor (someone), accept"
aiombinili,(n),chair
aiombinili falaya,(n),sofa
aiombinili yushkololi,(n),"small couch, love seat (new term)"
aiona,(v),"(three or more) to get there, arrive"
aiukli,(v),"to be pretty, handsome"
aiulhti,(n),fireplace
aiunchuloli,(n),"descendant, offspring, offshoot (of a plant, etc.)"
aiunch?n?lli,(n),"what something rolls on: a rail, etc."
aiuntalaia,(n),"a shelf, a site"
aiuntolubli,(n),"place where one jumps: a diving board, etc."
aiuntulli,(n),"place where one jumps repeatedly: a trampoline, etc."
aiushta,(adj),fourth
ai?hlichi,(v),"to bring to an end, bring to a close, terminate"
ai?la,(v),"(three or more) to get here, arrive, come here"
ai?lhpi,(n),"a handle (on an ax, etc.), hasp"
ai?lhpiesa,(n),"custom, tradition"
ai?lhpita,(n),"place where animals are penned to be fattened, place or office where annuities or support is given"
ai?lhpowa,(n),birthplace
ai?lhpusha,(n),"place where one toasts or roasts: oven, etc."
ai?lhto,,
ai?lw?sha,(n),"skillet, frying pan"
ai?shwa,(v),"(two) to live, dwell"
ai?shwa,(n),place where two dwell
ai?tta,(v),"(one) to live, dwell, stay"
ai?tta,(n),"place where one dwells: a residence, dwelling, place of birth"
aiyah!,(interj),my goodness!
aiyoa,(v),to pick (two or more)
aiyuka,(adj),"each, every"
aiyukali,(adj),"every, each"
aiyukoma,(v),"to be confused, mixed up, puzzled"
aiy?bechi,(v),to make (something) worse
aiy?bi,(v),"to get worse, worsen"
aiy?mohmi,(n),"habit, custom, tradition"
ak,,first person singular negative marker appearing before a verb: ‘I (do not)’
ak kia,,"a marker used after noun phrases and meaning ‘also’, ‘too’, ‘even’, ‘although’"
aka?k alata,(n),a setting hen
aka?k anusi,(n),chicken roost (a shed where chickens are kept)
aka?k ashela,(n),boiled chicken thickened with cornmeal or flour
aka?k chaha,(n),"turkey (a euphemism, literally ‘tall chicken’)"
aka?k chaha nipi,(n),turkey meat
aka?k i? chukka,(n),"chicken house, chicken coop"
aka?k ishki,(n),hen
aka?k nakni,(n),rooster
aka?k nipi,(n),chicken meat
aka?ka,(n),chicken
aka?ka walakshi,(n),chicken dumplings
aka?kushi,(n),chick
aka?kushi hakshup,(n),eggshell
aka?kushi hobi,(n),boiled eggs
aka?kushi i? tohbi,(n),egg white
aka?kushi lumbo,(n),chicken egg
aka?kushi okchauwi,(n),watery eggs
aka?k?bi,(n),chickenhawk
akanchi,(n),"place where one sell things: a store, farmer’s market, etc."
akaniohmi,(n),"place where something is happening: an event, a happening"
akanl?pi,(v),to be frozen to (something)
akant?li,(v),"to press against (the back of a chair, etc.), press (in a vice, etc.)"
akch?lhpi,(n),dry bark (used for kindling)
akelawachi,(v),"to belch, burp, have heartburn"
akinli,,"also, too, likewise, indeed"
akinli kia,,"although, even though, but, however"
akka,(adv),"down, downward"
akka ashachi,(v),to put (three or more) down
akka a?ya,(v),"to go on foot, travel on foot"
akka ia,(v),"(one) to go down, descend, decrease"
akka isht ia,(v),"(one) to take down (a flag), take down (to a lower note)"
akka ittula,(v),to fall down
akka pila,(v),"to drop (apples, etc.) deliberately, knock down (nuts, etc.), bring down (a leader, etc.), topple"
akka pilla,(v),"to be very low (of a car, plane, etc.), bass (of a voice)"
akka pit hlipi?ya,(v),"to be bent down, bent over"
akkachi,(v),"to knock down, bring down, take down"
akkachunni,(v),to nod (the head) several times (older word)
akkachunoli,(v),to bow (the head) down (as with resignation)
akkanlusi,(v),"to be low (of a shelf, an airplane, a voice, or someone’s spirit), humbled, abased"
akkimma,(pp),downward (derived from )
akkisht?la,(n),"the bottom, base (of a tree, etc.), lower part, lower end"
akkowa,(v),"to go down (stairs), descend, climb down, step down, get down (from a wagon), get out (from a car), dismount, alight"
akkowachi,(v),"to drop (someone) off, let (a child, or cat, etc.) down (from the arms), land (an airplane)"
akma?,,"and so, and when (in the future)"
akmo,(v),"to set, harden, stiffen, congeal (of glue, grease, etc.)"
akni,(n),the oldest child (not normally possessed)
akoluffi,(v),"to cut off at or from (medication, insurance, etc.)"
akostini,(v),"to sense, be aware of"
akostinichi,(v),"to find out, discover, discern, come to understand, realize"
akostininchi,(v),"to have come to understand, have discerned, be very aware of, have insight of"
akshuchi,(n),
Akshuchi Nittak,(n),
akta,,"because, therefore"
Aktoba,(n),October
akucha,(v),to come out from (a place)
akuchawehli,(v),"to take out from, subtract"
akuchi,(v),"to take out of, take out from"
akuch?ka,(n),"outside of, out from"
ak?lampi,(n),"place where things freeze: freezer, etc."
ak?lampichi,(n),freezer
ak?lli,(v),to patch (something)
ak?mmi,(v),"to close (a door, a book, the eyes)"
ak?p?ss?li,(n),refrigerator
Ak?s,(n),August
ak?tanli,(n),
alakna,(adj),"turned yellow, ripened, rusted"
alakn?chi,(v),to rust (of metal)
alaksha,(n),"sweatlodge, sauna"
alata,(n),"something coming together side by side or on top of: the lining of a quilt or coat, insulation of a house, a layer (of clothing), covering"
alauwechi,(v),to be doing equal to (someone else)
alauwi,(v),"to be equal, even, adequate, sufficient"
ale!,(interj),"ouch!, ow!"
aleho!,(interj),"oh! (said when groaning, as when an old person gets up from sitting)"
a?lhto,(v),(two or more) to be inside (of something)
ali,(v),I say (short form of )
alibesha,(n),"a warming place, a place to warm"
alikchi,(v),"to doctor, administer medical treatment"
alikchi,(n),doctor (either in the sense of a physician or a traditional medicine maker)
alohmi,(n),a place where something is hidden
alota,(v),"to be full, filled"
alota,(adj),full
alotoli,(v),"to fill (a container), load (something)"
aluma?ka,(n),"a secret place, a hiding place"
alushoma hosh,(adv),"with great effort (to win, get ahead, etc.), diligently"
amba,(conj),"but, however"
amok?fa,(v),"to attack (someone) verbally or physically, struggle against, take on (a task, etc.)"
ampo,(n),"plate, bowl, dish"
ampo aiasha,(n),cupboard
ampo ataloha,(n),cupboard
ampushi,(n),"small saucer, bowl"
anakshohli,(v),"to singe (a squirrel, etc.), scorch, toast"
anakshua,(adj),"singed, scorched, toasted"
anakshua,(v),"to be singed (of a squirrel, etc.), scorched, toasted"
anchi,(v),"to cover up (with a blanket, robe, shawl, etc.)"
anchi,(n),"bedclothes, quilt, cover, cloak, shawl"
anchi alata,(n),quilt lining
anchi itt?lhk?ta,(n),"a pieced quilt, patchwork"
anchichi,(v),"to put (a blanket, robe, cloak, etc.) on (someone else), cover (another) with (a shawl, etc.)"
anechi,(n),pus
aninchichi,(n),a sore with pus in it
anoli,(v),"to tell, report, publish, proclaim"
anonti,(adv),"again, then, and"
anowa,(n),"place where one walks: a trail, path, tracks, course"
ant,,a marker appearing before a verb and meaning come and (do something)’
ant ia,(v),(one) to come by
ant ishi,(v),"to come to pick up, get (something)"
ant ittula,(v),"to fall off, fall out"
ant pisa,(v),"to come look, come see"
antta,(v),"(one) to be (in a place, temporarily), stay (of one living thing)"
anttula,(v),to be falling this way
anu?ka,(pp),"inside, in"
anu?kaka,(n),"the inside (of something), the interior, within"
anukcheto,(v),to be dependent on
anukchieto,(v),"to be heavily dependent on, rely heavily on (someone)"
anukfila,(n),mind
anukfilli,(v),"to think, reflect, meditate"
anukfohka,(v),to understand
anukfohkichi,(v),"to make (a learner) understand, enlighten, impart knowledge"
anukhl?m?lli,(v),to choke on (a liquid)
anukpiliffi,(v),to
anuksiteli,(v),to hang
anuktuklo,(v),"to be confused, disoriented, be hesitant, uncertain, doubt, be at a loss"
anuktuklo,(adj),"confused, mixed up"
anumpa,(n),"word, speech, statement"
anumpa falama,(n),
anumpa falama ima,(v),"to answer a question, give a reply"
anumpa fal?mmichi,(v),to
anumpa i? fal?mmichi,(v),to reply (agreeing or disagreeing) to (someone)
anumpa ilb?sha,(n),prayer
anumpa ima,(v),"to promise, give (one’s) word"
anumpa k?llo,(n),law
anumpa k?llo bohli,(v),to lay down the law
anumpa onohchi,(v),to accuse
anumpa tosholi,(n),"translator, interpreter"
anumpa ?lhpisa,(n),law
Anumpa-luma?ka Anumpuli,(n),Code Talker (new word)
anumpuli,(v),"to talk, speak"
anumpuli,(n),speaker
anumpuli ilahobbi,(v),"to babble, imitate speech"
anusi,(n),"place where one sleeps: hotel, motel, bed, roost, den, etc."
an?hlichi,(v),"to nail on, nail to, fasten with a nail"
apakfopa,(v),"to surround, go around (something, trying to avoid it), bypass, evade, deviate, shun, to wrap around (of a snake, etc.), encircle"
apata,(v),to sit next to (someone)
apata,(pp),beside
apat?lhpo,(n),"mattress, cushion"
apehlichika,(n),"a place that is ruled: kingdom (in the Bible), diocese, etc."
apela,(v),to help
apesa,(v),"to measure (something), judge, decide, rule"
apesanchi,(v),"to watch (a child), take care of"
apes?chi,(v),"to guard, oversee, watch, watch over, look after, care for (someone)"
apes?chi,(n),"observer, caretaker, nurse, guard"
apisa,(n),mirror
apissa,(v),"to be straight (of a tree, board, road, hair, etc.)"
apissa,(adj),"straight (of hair, etc.)"
apissanlit,(adv),"directly, straight (somewhere)"
apiss?li,(v),"to straighten (a piece of metal, a road, etc.)"
apiss?t,(adv),"straight, directly"
apistikeli,(v),"to tease, bother, molest (someone)"
apitta,(v),"to put (two or more) into, pour (a liquid, etc.)"
apoa,(v),"to give birth to (a child), bear (of a woman or animal)"
apoachi,(v),"to grow (a plant), raise (animals)"
apoachi,(n),"one who helps to give birth, midwife"
apokshama,(n),diaper
apoksha?ma,(v),to have (a diaper or breechcloth) on
apoksh?mmi,(v),to put on (a diaper or breechcloth)
apoksh?mmichi,(v),"to put (a diaper) on (a baby, etc.)"
apoksia,(v),"to fix, repair, prepare (a cake, etc.)"
apoksiachi,(v),to fix
apoksiachi,(n),"one who fixes things: a repairman, etc."
apolusli,(v),"to smear on (a salve), daub (mud, etc.)"
apota,(v),"to lie at the side, alongside"
apot?ka,(n),"beside, next to"
apushli,(v),"to roast (beef, etc. in an oven), toast (bread on the stove)"
ap?ll?ska,(n),"place where anything is baked: oven, baking pan, etc."
asanali,(v),"to face, sit opposite, oppose"
ash,,a marker appearing after a noun to indicate the noun was previously mentioned
asha,(v),(three or more) to live (in one place)
a?sha,(v),(one) to be sitting
a?sha,(v),"(three or more) to be (in a place, temporarily)"
a?sha na ia,(v),to leave (three or more items or things) there
ashachi,(v),"to place (three or more cups, balls, etc. in a place), store, put away, put up"
a?shaka,(pp),"behind, in back of"
a?sha?ka,(pp),"right behind, directly behind"
a?shaka a?ya,(v),to go along at the rear
ashana,(v),"to lock (of a door, etc.)"
ashana,(adj),locked
asha?na,(v),"to be locked (of a door, etc.)"
ashekonopa,(n),knot
ashekonumpa,(adj),"tangled (of string, etc.), twisted (of wire, etc.)"
ashela,(adj),"thickened (as of gravy), congealed"
asheli,(v),"to simmer down, thicken (gravy, etc.)"
ashinla,(n),"a dry area, a dry spot"
ashippa,(v),"to boil down, evaporate (of a liquid)"
ashke,,will or shall be
ashobohlichi,(n),place where one smokes (meat): smokehouse
ash?chi,(v),"to sin, offend, stray, do wrong"
ash?chi,(adj),sinful
ash?nni,(v),"to lock (a door, etc.)"
a?shwa,(v),"(two) to be (in a place, right now), be staying"
asilhha,(v),"to ask, request"
asonak,(n),brass kettle
asonak lakna,(n),"brass, copper"
atabli,(v),"to overdo, do too much, exceed"
atahli,(v),to finish (something)
atahli,(v),"to get (something) ready, prepare (something), support, furnish"
ataiya,(v),"to lean against (of a ladder, etc.)"
ataiy?chi,(v),"to lean (something) against, make (something) rest against"
ataiy?chit hilechi,(v),to stand (something) up against
atakalichi,(n),"place where one hangs something: a hook, etc."
atakl?ma,(v),"to be troubled, detained"
atakl?mmi,(v),"to bother, trouble, interfere, prevent"
atakl?mmichi,(v),"to annoy (someone), bother, pester"
ata?kl?t ia,(v),(one) to go along with (someone)
atakohchi,(n),"place where one hangs things: clothesline, etc."
atalaya,(n),"place where something is set: a base, foundation"
ataloa,(n),"a hymnal, songbook"
atampa,(v),"to be more than enough, too much"
atampa,(adj),"leftover, excessive, overextended, surplus, extreme"
atebli,(v),to press or push down with pressure (as to stop a cut from bleeding)
atia,(n),"a way, passage, exit, frontage (older word)"
atoba,(v),to be made from
atobbi,(v),to pay
atohnichi,(v),to sic (a dog) on
atohnochi,(v),"to urge, encourage, authorize"
atokoli,(v),"to select, vote, elect, appoint"
atoks?li,(n),"place where someone works: a work table, work place, workshop, penitentiary, etc."
atoni,(v),to
atoni,(n),"a guard, a watchman"
atuchina,(num),third
atukla,(num),second
atuklanchit,(adv),"a second time, twice"
atukl?chi,(v),to do
atuko?,(conj),"and, and so"
atukosh,(conj),"and, and so (used at the beginning of a sentence whose subject is the same as the preceding sentence)"
auan?bli,(v),"to be crossing (water, etc.)"
awah ach?ffa,(num),eleven
awah hannali,(num),sixteen
awah tahlapi,(num),fifteen
awah tuchina,(num),thirteen
awah tuklo,(num),twelve
awah untuchina,(num),eighteen
awah untuklo,(num),seventeen
awah ushta,(num),fourteen
awant,,a marker appearing before a verb and meaning with (someone)’ or accompanying’
awant bininli,(v),(one) to be sitting with (someone)
awant chukkowa,(v),to go in with (someone)
awant ia,(v),(one) to go with (someone)
awant impa,(v),to eat with (someone)
awashoha,(n),"place where one plays: a playground, theater, stage, etc."
awata,(v),"to be wide, broad (of a road, etc.)"
awehli,(v),"to take from, take out of"
awehpuli,(v),"to rob from, take possessions from"
awekichi,(n),a scale (for weighing something)
awinak?chi,(v),to rock
aw?shli,(v),"to fry (chicken, etc.)"
a?ya,(v),"to go along, travel, be in motion"
ayakaya,(v),to be following
ayaka?ya,(n),second in command
ayimmika,(n),"something believed in: a belief, faith"
ayopisa,(n),"a place to observe: theater, etc."
ayuka,(n),jail
ayukpa,(v),to benefit from (something)
ayumba kiyo,(v),"it is not good, it is spoiled"
ayupi,(n),"place where one bathes or wallows: bathtub, washtub, shower, pool, etc."
,,
baha,(v),to be gored more than once
baha,(n),"a jab, stabbing"
bahafa,(v),to be gored once
baha?ha,(v),to keep getting gored
bahli,(v),"to gore (someone) more than once (as of a bull), jab, thrust"
bahta,(n),"bag, sack (generally a large burlap sack for corn)"
bahta bancho,(n),"a tow sack, burlap sack"
bah?ffi,(v),"to stab, gore (someone) once"
baiyi,(n),white oak
bakbak,(n),woodpecker
bakoa,(adj),spotted
bako?chi,(v),
balili,(v),(one) to run
balilichi,(v),"to start (a car, etc.), run (a business), drive (a car)"
balilichi,(n),manager
balilit k?nia,(v),(one) to run away
balilit nowa,(v),(one) to run around
balinli,(v),"to be idling (of one car, etc.)"
balit k?nia,(n),a runaway
balup,(n),slippery elm
bal?fokka,(n),pants
bal?fokka t?pa,(n),"cut offs, shorts"
bano,,"alone, only, all, altogether, completely, totally, whole"
baptismo,(n),baptism
baptismochi,(v),to baptize (someone)
basoa,(v),"to be striped (like a zebra or watermelon), streaked"
basoa,(adj),"striped, streaked"
beka,,"usually, sometimes, occasionally, now and then"
bia?kak,(n),hawk
bicha,(v),"to be poured (of water, etc.)"
bichili,(v),"to pour (coffee, etc. out of a spout)"
bichofa,(adj),"bent (of one nail, etc.)"
bichoha,(adj),"bent (of two or more, as of nails)"
bichuffi,(v),to bend (one)
bichuhli,(v),to bend (two or more)
bieka,(v),"frequently, always, all the time, used to"
bihi,(n),mulberry
bihi ?pi,(n),mulberry tree
bihli,(v),"to jab more than once, prick, wound, injure feelings"
bihlibli,(v),to point
bihliblichi,(v),"to make point out, make indicate"
bi?ka,,"each, both, like, of the same kind"
bikobli,(v),"to bud, put out buds, put out a shoot"
bila,(n),"lard, grease, cooking oil"
bila,(v),"to melt (of butter, ice, etc.), dissolve, thaw, liquefy"
bila ashela,(n),gravy
bila lusa,(n),"black oil: crude oil, etc."
bila ?pa,(n),cockroach
bileli,(v),"to melt (butter, ice, etc.), cause to melt, dissolve, thaw"
bilhk?n,(n),"nasal mucus, phlegm, nasal discharge"
bilia,(v),to do (an action) always or forever
bili?ka,,"near, nearby, close by"
bili?kasi,(adj),"very near, nearest"
billia,(v),"to do (an action) always, forever, continually, eternally, perpetually, regularly"
binachi,(v),to camp
binah,(n),"a camp, camphouse (a building at a church ground where meals are prepared), lodge"
binihinli,(v),(one) to keep sitting down
binihli,(v),"(one) to sit down quickly, plop down"
binili,(v),"(one) to sit down, perch, settle"
binilichi,(v),"to seat (one), place"
binininli,(v),"(one) to be sitting here and there, in various places"
bininli,(v),(one) to be sitting
binneli,(v),(one) to sit for an extended period
binohli,(v),(three or more) to sit down
binohlichi,(v),"to seat (two or more), place on a seat, settle"
binohlichi,(n),"someone who seats people: usher, etc."
binohma?ya,(v),"(three or more) to be sitting around, be seated (of living things)"
bishchi,(v),to
bishkokok,(n),American robin
bishkomak,(n),cardinal
biskinik,(n),a type of small woodpecker (possibly yellow-bellied sapsucker)
bissa,(n),blackberry
bissa walakshi,(n),blackberry dumplings
biss?pi,(n),blackberry bush
bita,(n),"a head scarf, head band, turban, silver band"
biteli,(v),"to tie or put on (a head scarf, headband, turban, something around the head)"
bitepa,(v),to
biu?ko,(n),strawberry
boa,(v),"to be beaten, pounded, hammered, mauled"
bofok! achi,(v),to make a muffled sound as when falling in sand or dust or on a bed
bohli,(v),"to place (one pencil, etc.)"
boho?wa,(v),to be beaten continuously or periodically
bohpuli,(v),to
bok,(n),"river, stream"
Bok Chito,(n),"Bokchito: a town in Bryan County, Oklahoma"
bokafa,(v),"to burst, pop once, explode (of a balloon, etc.)"
bokahli,(v),"to pop repeatedly (of firecrackers, popcorn, a machine gun, etc.)"
bokahlichi,(v),"to pop (popcorn, etc.) repeatedly"
bokka?ha,(v),"to beat (with a club, etc.), to hit repeatedly"
bokko,(n),"mound, knoll"
Bokushi,(n),"Bokoshe: a town in Le Flore County, Oklahoma"
bokushi,(n),"a creek, stream, branch, small river, brook"
bokushi oka,(n),creek water
bokushi y?n?lli,(n),a running or flowing creek
bok?ffi,(v),"to pop (a balloon, blister, etc.) once, burst"
boli,(v),"to pound, hit (a ball, etc.), beat (with a hammer, bat, club, etc.)"
bolukta,(v),"to be round (like a plate), circular"
bolukta,(adj),round
bona,(v),
bonulli,(v),to
bonunta,(v),
boshulli,(adj),"broken up (of rocks, corn, etc.)"
boshulli,(v),"to be broken in pieces, cracked (of corn), broken down (of a bill)"
boshullichi,(v),"to break (something) into pieces, break (something) down, make change (for a large bill)"
bota,(adj),"pulverized, ground fine like cornmeal or coffee, powdered"
bota shukcha,(n),flour sack
bota sh?t?mmichit taha,(n),self-rising flour
botoa,(adj),"mashed (of potatoes, etc.)"
botoli,(v),"to grind (corn), pulverize, crush (crackers), pound fine"
boyahli,(v),to lose
bunni,(v),"to roll up, double up, wrestle"
bunnunta,(v),to be
b?chali,(v),"to lay (a stick, a log, etc.) lengthwise, spread (something) in a straight line"
b?chaya,(v),(one) to lie in a prone position
b?chaya,(n),"a row, line"
b?cha?ya,(v),"(one) to be lying lengthwise, be lying stretched out or in a line"
b?cho?ha,(v),"(two) to be lying lengthwise, be lying stretched out or in a line"
b?chohma?ya,(v),"(three or more) to be lying lengthwise, be lying stretched out or in a line"
b?la,(n),pole beans
b?lali,(v),"to crawl, creep"
b?lama,(v),"to smell (good or bad), have an odor or aroma, be scented, perfumed, smelly, fragrant"
b?lam?chi,(v),"to perfume, scent (something)"
b?naha,(n),shuck bread
b?nna,(v),"to want, desire"
b?n?tha,(n),a wave (of water)
b?sak! achi,(v),"to make a munching, crunching, snapping, or cracking sound"
